"Region","State","n stations","Mean Deep Sed Annual Decomp (mol C/mol C)","SD Deep Sed Annual Decomp (mol C/mol C)","Mean Shallow Sed Annual Decomp (mol C/mol C)","SD Shallow Sed Annual Decomp SD (mol C/mol C)"
"Atlantic","ME",5,0.0564840985111093,0.00808959897195103,0.0873186327376241,0.00626941897194748
"Atlantic","MA",4,0.0834997088828516,0.00630295070896211,0.120152472846075,0.00472840130073201
"Atlantic","RI",4,0.0911639198344374,0.00645255631438789,0.129138338448243,0.00491888517785622
"Atlantic","CT",3,0.0869181544969427,0.00761362236036134,0.124161600037523,0.00578957824257149
"Atlantic","NY",5,0.0956068447807637,0.00590589079735533,0.134314543045756,0.00447321599920284
"Atlantic","NJ",5,0.101859512263694,0.00540397909732259,0.141500462369486,0.00407001896237258
"Atlantic","PA",4,0.110849505817771,0.00581465493161968,0.151824493515522,0.0043107015415857
"Atlantic","DE",4,0.109190085955216,0.00565938312631394,0.150316866986897,0.00411416464223722
"Atlantic","MD",7,0.121883951955465,0.00409073636931441,0.164789371217046,0.00296789685682035
"Atlantic","DC",1,0.121770355690731,0.0112421530999498,0.163684462269127,0.00849385686026486
"Atlantic","VA",6,0.130334221474458,0.00426844297326349,0.174796403356102,0.00295717655645929
"Atlantic","NC",6,0.142430051690696,0.00413635944842645,0.189983429692868,0.00260018057977204
"Atlantic","SC",1,0.160772031389956,0.0123222958269946,0.211102637274032,0.00776195017778086
"Atlantic","GA",1,0.177083025612436,0.010240254975703,0.229986726517672,0.00612765919422658
"Atlantic","FL",8,0.224605996820937,0.00453738350111221,0.281994641910781,0.00289543305929173
"Gulf","FL",13,0.217112540104415,0.00317288554446626,0.274232776011755,0.00201660364028214
"Gulf","AL",4,0.192066760749049,0.00546865931592443,0.245661546752741,0.00354678763707791
"Gulf","MS",2,0.19319246169493,0.00690730775142733,0.246932828884932,0.0044050169903941
"Gulf","LA",14,0.18423635481532,0.00289296055311001,0.236543697851044,0.00191120697868586
"Gulf","TX",27,0.195184259765972,0.00207034965635458,0.249404047070375,0.00132786820592098
"Pacific","CA",16,0.0946320411875124,0.00397579523942455,0.135922725490956,0.00246303012395656
"Pacific","OR",5,0.0692629279100665,0.00855232900752094,0.104398776123309,0.00612447409633216
"Pacific","WA",10,0.0641230412379788,0.00656513570806227,0.0978080083822123,0.00481747001457594
